,"last_name, first_name",player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
209,"Berríos, José",621244,TOR,CH,Changeup,-0.1,-1,543,18.5,171,0.245,0.409,0.314,33.0,26.9,24.3,0.238,0.351,0.284,25.7
210,"Irvin, Jake",663623,WSH,FF,4-Seam Fastball,0.6,5,765,35.6,171,0.201,0.349,0.295,19.2,21.6,12.7,0.216,0.415,0.32,35.7
211,"Dunning, Dane",641540,TEX,SL,Slider,0.3,2,630,23.4,170,0.212,0.364,0.264,34.5,31.2,21.7,0.247,0.403,0.289,41.1
212,"Scott, Tanner",656945,MIA,SL,Slider,2.5,16,636,52.6,170,0.173,0.237,0.224,40.3,38.2,29.8,0.18,0.229,0.211,25.8
213,"Bieber, Shane",669456,CLE,FF,4-Seam Fastball,0.7,5,687,35.2,169,0.257,0.434,0.331,9.3,14.2,17.3,0.316,0.512,0.382,62.0
214,"Canning, Griffin",656288,LAA,SL,Slider,-0.2,-1,624,28.7,169,0.261,0.344,0.297,34.0,33.1,22.6,0.222,0.308,0.262,41.6
215,"Kopech, Michael",656629,CWS,SL,Slider,-1.1,-7,660,27.2,169,0.258,0.516,0.359,27.4,26.6,21.3,0.248,0.471,0.322,43.5
216,"Hoeing, Bryan",663773,MIA,SI,Sinker,-0.9,-5,591,52.5,169,0.275,0.55,0.396,16.4,16.0,22.1,0.281,0.513,0.377,49.2
217,"Sears, JP",676664,OAK,ST,Sweeper,-1.3,-9,640,22.3,168,0.239,0.51,0.349,30.0,23.2,17.5,0.227,0.428,0.305,26.5
218,"Sale, Chris",519242,BOS,FF,4-Seam Fastball,0.5,4,721,43.2,168,0.252,0.437,0.334,23.4,23.2,18.2,0.235,0.434,0.322,39.8
219,"Javier, Cristian",664299,HOU,SL,Slider,-0.2,-2,864,30.0,168,0.211,0.367,0.3,28.7,26.8,17.8,0.204,0.333,0.279,33.7
220,"Brown, Hunter",686613,HOU,FC,Cutter,-0.5,-3,640,23.5,168,0.297,0.506,0.365,20.8,14.9,18.4,0.288,0.489,0.352,41.4
221,"Díaz, Alexis",664747,CIN,SL,Slider,2.8,16,598,51.5,168,0.153,0.229,0.237,37.9,33.9,28.1,0.176,0.245,0.249,38.2
222,"Ohtani, Shohei",660271,LAA,FF,4-Seam Fastball,1.7,11,686,32.8,168,0.165,0.237,0.278,27.1,29.8,23.7,0.218,0.378,0.325,38.9
223,"Nola, Aaron",605400,PHI,SI,Sinker,-0.2,-1,577,18.7,167,0.275,0.405,0.336,10.7,21.6,22.1,0.283,0.43,0.329,45.0
224,"Woo, Bryan",693433,SEA,FF,4-Seam Fastball,1.0,7,679,46.9,166,0.207,0.407,0.312,30.3,31.3,24.2,0.192,0.358,0.289,39.4
225,"De Los Santos, Enyel",660853,CLE,FF,4-Seam Fastball,0.4,2,634,60.5,166,0.25,0.351,0.305,18.8,21.7,17.3,0.265,0.419,0.333,38.1
226,"Falter, Bailey",663559,PIT,FF,4-Seam Fastball,-0.5,-3,576,44.4,166,0.305,0.435,0.345,15.6,19.3,17.5,0.269,0.383,0.307,40.7
227,"Swanson, Erik",657024,TOR,FS,Split-Finger,2.9,14,503,47.5,166,0.162,0.266,0.227,34.3,34.9,27.9,0.166,0.303,0.233,38.5
228,"Alexander, Scott",518397,SF,SI,Sinker,1.1,6,526,75.8,166,0.306,0.389,0.337,14.6,9.6,13.8,0.278,0.388,0.308,34.8
229,"Houck, Tanner",656557,BOS,SL,Slider,1.2,8,667,38.3,166,0.178,0.301,0.259,38.7,29.5,22.4,0.206,0.359,0.283,32.0
230,"Bednar, David",670280,PIT,FF,4-Seam Fastball,1.8,12,641,58.0,165,0.188,0.315,0.253,30.3,29.1,21.1,0.181,0.332,0.256,44.8
231,"Hader, Josh",623352,SD,SI,Sinker,1.5,12,765,73.4,165,0.19,0.27,0.282,27.9,29.1,19.3,0.184,0.264,0.276,26.7
232,"Rodriguez, Grayson",680570,BAL,CH,Changeup,1.6,7,471,22.4,165,0.201,0.318,0.26,28.3,24.2,18.2,0.212,0.303,0.252,35.1
233,"Montgomery, Jordan",656756,TEX,CU,Curveball,0.6,4,647,22.2,165,0.191,0.357,0.245,37.1,33.3,20.9,0.206,0.36,0.258,37.1
234,"Alcantara, Sandy",645261,MIA,FF,4-Seam Fastball,-0.1,-1,579,21.3,165,0.253,0.448,0.312,26.7,30.9,22.6,0.239,0.407,0.291,47.7
235,"Eovaldi, Nathan",543135,TEX,FS,Split-Finger,0.4,3,617,27.6,164,0.196,0.314,0.257,35.5,26.2,21.1,0.2,0.308,0.253,50.0
236,"Sandoval, Patrick",663776,LAA,FF,4-Seam Fastball,-1.5,-10,671,25.6,164,0.336,0.507,0.427,15.6,11.6,10.9,0.307,0.494,0.406,44.8
237,"Pérez, Martín",527048,TEX,CH,Changeup,-1.2,-7,588,26.5,164,0.316,0.447,0.351,27.8,15.2,14.8,0.274,0.384,0.302,29.8
238,"Thompson, Zack",668868,STL,FF,4-Seam Fastball,-0.3,-2,627,53.7,164,0.327,0.476,0.374,20.6,22.0,19.9,0.303,0.476,0.365,52.6
239,"Cabrera, Edward",665795,MIA,CH,Changeup,1.6,9,565,31.4,163,0.186,0.3,0.283,36.3,27.6,23.9,0.175,0.248,0.255,26.3
240,"Hernández, Carlos",672578,KC,FF,4-Seam Fastball,-0.1,-1,692,55.3,163,0.272,0.507,0.402,25.4,21.5,15.9,0.274,0.482,0.382,49.5
241,"Lawrence, Justin",664875,COL,ST,Sweeper,2.4,14,576,48.7,163,0.149,0.236,0.214,36.4,38.7,30.4,0.159,0.258,0.221,25.3
242,"Sale, Chris",519242,BOS,SL,Slider,0.4,2,627,37.5,163,0.162,0.358,0.257,38.9,45.4,29.1,0.159,0.31,0.248,32.0
243,"Eflin, Zach",621107,TB,FC,Cutter,-0.7,-5,672,26.1,163,0.307,0.588,0.391,16.7,5.5,15.0,0.278,0.587,0.372,39.9
244,"Wells, Tyler",669330,BAL,FF,4-Seam Fastball,1.0,7,718,37.7,162,0.2,0.467,0.304,26.6,29.0,21.8,0.213,0.507,0.324,54.8
245,"Brash, Matt",666374,SEA,SL,Slider,2.3,15,659,50.5,161,0.162,0.216,0.2,48.5,44.1,30.5,0.154,0.24,0.205,26.6
246,"Henry, Tommy",674072,AZ,FF,4-Seam Fastball,-0.5,-3,681,49.0,161,0.292,0.523,0.42,15.5,10.6,13.1,0.278,0.508,0.402,40.7
247,"Poche, Colin",621363,TB,FF,4-Seam Fastball,0.8,5,603,65.0,160,0.234,0.365,0.307,22.0,18.1,18.0,0.218,0.318,0.287,32.1
248,"Schmidt, Clarke",657376,NYY,ST,Sweeper,-0.3,-2,742,27.4,160,0.276,0.559,0.391,26.3,22.5,18.8,0.267,0.486,0.347,37.8
249,"Mayza, Tim",641835,TOR,SI,Sinker,2.2,13,619,76.5,159,0.26,0.349,0.299,21.0,23.3,25.0,0.251,0.347,0.29,38.2
250,"Peralta, Freddy",642547,MIL,SL,Slider,-0.1,-1,619,21.8,159,0.203,0.392,0.296,46.0,35.2,25.3,0.221,0.378,0.299,35.6
251,"Lawrence, Justin",664875,COL,SI,Sinker,-1.1,-7,607,51.3,159,0.333,0.488,0.422,11.5,9.4,18.8,0.293,0.42,0.38,49.2
252,"Assad, Javier",665871,CHC,SI,Sinker,2.4,13,524,30.6,159,0.214,0.324,0.266,14.2,23.3,30.6,0.272,0.407,0.321,47.3
253,"Gonsolin, Tony",664062,LAD,FF,4-Seam Fastball,1.1,7,657,39.5,158,0.221,0.436,0.322,15.7,14.6,16.3,0.261,0.544,0.368,49.2
254,"Bradish, Kyle",680694,BAL,SI,Sinker,1.2,6,544,20.6,158,0.23,0.367,0.315,15.0,19.6,23.7,0.244,0.366,0.312,42.2
255,"Jax, Griffin",643377,MIN,ST,Sweeper,1.1,6,553,52.8,157,0.197,0.32,0.27,28.6,29.9,22.7,0.192,0.307,0.243,32.0
256,"López, Pablo",641154,MIN,ST,Sweeper,0.9,6,646,21.4,157,0.173,0.287,0.215,36.6,36.3,22.8,0.176,0.265,0.208,22.3
257,"Wainwright, Adam",425794,STL,CU,Curveball,-0.7,-4,548,30.7,157,0.291,0.475,0.361,15.3,11.5,9.7,0.318,0.549,0.39,32.5
