,"last_name, first_name",player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
864,"Stratton, Chris",608717,TEX,SL,Slider,-0.9,-2,262,19.3,75,0.246,0.507,0.353,16.3,10.7,9.4,0.251,0.456,0.313,37.5
865,"Wentz, Joey",666214,DET,CU,Curveball,-0.9,-3,305,15.8,75,0.247,0.356,0.285,28.5,33.3,18.9,0.221,0.292,0.233,20.8
866,"Davis, Noah",663562,COL,SI,Sinker,-3.4,-10,303,50.4,75,0.4,0.6,0.468,11.5,12.0,12.0,0.304,0.428,0.366,41.1
867,"Lambert, Peter",663567,COL,SL,Slider,-0.2,-1,306,21.1,75,0.304,0.522,0.38,21.4,17.3,20.6,0.277,0.485,0.353,39.3
868,"Adams, Austin",613534,AZ,SL,Slider,1.3,4,325,89.8,75,0.231,0.246,0.278,30.1,29.3,20.2,0.187,0.248,0.256,32.6
869,"Abreu, Albert",656061,NYY,SL,Slider,2.0,6,293,28.1,75,0.109,0.219,0.214,39.4,32.0,24.7,0.172,0.301,0.268,34.1
870,"Maton, Phil",664208,HOU,FF,4-Seam Fastball,-0.8,-3,334,32.1,75,0.226,0.387,0.337,32.3,22.7,23.6,0.243,0.396,0.345,35.6
871,"Carasiti, Matt",571539,COL,SI,Sinker,-1.4,-4,268,65.2,75,0.27,0.397,0.355,15.7,10.7,14.5,0.274,0.412,0.37,37.5
872,"Martinez, Seth",661527,HOU,FF,4-Seam Fastball,-0.5,-1,305,39.9,75,0.323,0.516,0.419,20.0,22.7,17.0,0.319,0.545,0.423,57.8
873,"Wright, Kyle",657140,ATL,CU,Curveball,1.1,3,272,47.3,75,0.162,0.382,0.288,31.4,30.7,24.2,0.222,0.388,0.293,39.1
874,"Fulmer, Michael",605242,CHC,ST,Sweeper,2.4,7,291,30.6,74,0.183,0.225,0.201,48.1,48.6,26.7,0.156,0.178,0.169,11.4
875,"Farmer, Buck",571656,CIN,CH,Changeup,-1.4,-4,282,23.1,74,0.222,0.429,0.342,32.4,21.6,19.8,0.207,0.392,0.319,31.9
876,"Leone, Dominic",608678,SEA,FC,Cutter,-0.4,-1,280,31.6,74,0.318,0.485,0.375,27.1,13.5,19.6,0.299,0.437,0.358,40.4
