,"last_name, first_name",player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
2828,"Snead, Kirby",669912,OAK,FF,4-Seam Fastball,0.9,0,26,13.5,5,0.2,0.2,0.18,9.1,20.0,8.3,0.201,0.364,0.233,50.0
2829,"Morris, Cody",663752,CLE,CH,Changeup,-5.1,-1,19,11.5,5,0.333,0.667,0.53,42.9,20.0,8.3,0.037,0.124,0.32,0.0
2830,"Battenfield, Peyton",685410,CLE,CU,Curveball,1.0,1,59,10.7,5,0.4,0.4,0.36,42.9,40.0,12.5,0.208,0.246,0.192,33.3
2831,"Suarez, Robert",663158,SD,SL,Slider,-16.2,-3,20,4.5,5,0.5,1.25,0.72,40.0,20.0,9.1,0.504,1.215,0.708,33.3
2832,"Steele, Justin",657006,CHC,CH,Changeup,-0.4,0,28,1.0,5,0.4,0.4,0.36,10.0,0.0,0.0,0.164,0.181,0.149,20.0
2833,"Robertson, David",502085,MIA,CH,Changeup,4.4,1,15,1.4,5,0.0,0.0,0.14,33.3,20.0,25.0,0.325,0.523,0.427,100.0
2834,"Ramírez, Yohan",670990,CWS,CH,Changeup,2.4,1,25,3.5,5,0.2,0.2,0.18,25.0,0.0,0.0,0.308,0.511,0.346,20.0
2835,"Herrin, Tim",682120,CLE,SI,Sinker,-1.6,0,27,5.3,5,0.4,0.4,0.36,11.1,0.0,0.0,0.321,0.414,0.319,40.0
2836,"Jax, Griffin",643377,MIN,FC,Cutter,-5.1,-2,30,2.9,5,0.6,1.0,0.68,8.3,0.0,0.0,0.301,0.499,0.338,40.0
2837,"Morris, Cody",663752,CLE,CU,Curveball,0.9,0,23,13.9,5,0.0,0.0,0.28,0.0,40.0,20.0,0.02,0.02,0.291,0.0
2838,"Walter, Brandon",687888,BOS,FF,4-Seam Fastball,6.8,1,15,4.1,5,0.0,0.0,0.0,42.9,60.0,23.1,0.012,0.014,0.011,50.0
2839,"Vodnik, Victor",680767,COL,CH,Changeup,1.6,1,32,17.2,5,0.0,0.0,0.0,28.6,60.0,20.0,0.099,0.112,0.089,50.0
2840,"Hudson, Bryan",663542,LAD,FC,Cutter,-0.1,0,17,10.4,5,0.25,0.25,0.18,0.0,0.0,0.0,0.503,0.602,0.389,40.0
2841,"Gage, Matt",657424,HOU,FC,Cutter,7.2,3,35,29.4,5,0.0,0.0,0.0,46.7,40.0,50.0,0.033,0.039,0.031,0.0
2842,"Richardson, Lyon",680689,CIN,SL,Slider,-3.0,-1,22,6.6,4,0.25,0.25,0.225,25.0,25.0,12.5,0.337,0.749,0.445,100.0
2843,"Leone, Dominic",608678,SEA,SI,Sinker,3.2,0,11,1.2,4,0.0,0.0,0.175,0.0,0.0,0.0,0.096,0.13,0.25,0.0
2844,"Milone, Tommy",543548,SEA,SL,Slider,3.8,1,31,19.0,4,0.0,0.0,0.0,23.1,0.0,0.0,0.205,0.351,0.196,25.0
2845,"Berroa, Prelander",672860,SEA,FF,4-Seam Fastball,2.0,0,17,41.5,4,0.0,0.0,0.35,0.0,0.0,0.0,0.213,0.259,0.45,0.0
2846,"Abreu, Albert",656061,NYY,FF,4-Seam Fastball,2.1,1,34,3.3,4,0.25,0.5,0.313,0.0,0.0,0.0,0.087,0.145,0.096,25.0
2847,"Wolf, Jackson",680232,SD,SL,Slider,-4.8,-1,25,33.3,4,0.333,0.333,0.4,22.2,25.0,14.3,0.388,0.442,0.45,0.0
2848,"Knehr, Reiss",663753,SD,CH,Changeup,-1.8,0,18,14.6,4,0.333,0.333,0.4,25.0,25.0,16.7,0.347,0.418,0.423,0.0
2849,"Veneziano, Anthony",685107,KC,CH,Changeup,-4.7,-1,20,36.4,4,0.333,0.667,0.488,33.3,0.0,0.0,0.458,0.999,0.624,100.0
2850,"Kilian, Caleb",668873,CHC,CU,Curveball,-3.1,-1,22,16.9,4,0.0,0.0,0.35,0.0,25.0,11.1,0.041,0.041,0.369,0.0
2851,"Then, Juan",672730,SEA,SL,Slider,0.7,0,36,21.6,4,0.25,0.25,0.225,30.0,0.0,0.0,0.52,0.57,0.476,0.0
2852,"Weissert, Greg",669711,NYY,FC,Cutter,3.3,1,23,6.6,4,0.0,0.0,0.35,42.9,25.0,33.3,0.002,0.002,0.351,0.0
2853,"McAllister, Zach",502083,NYY,ST,Sweeper,2.4,0,9,7.3,4,0.0,0.0,0.35,0.0,25.0,25.0,0.051,0.063,0.374,0.0
2854,"Waites, Cole",686972,SF,SL,Slider,-10.4,-2,20,30.8,4,0.667,1.0,0.938,25.0,0.0,0.0,0.478,0.532,0.513,33.3
2855,"Weissert, Greg",669711,NYY,CH,Changeup,5.5,1,21,6.1,4,0.0,0.0,0.175,83.3,50.0,25.0,0.136,0.161,0.267,0.0
2856,"Castillo, Diego",650895,SEA,CH,Changeup,-2.5,0,15,9.3,4,0.333,0.333,0.4,40.0,25.0,33.3,0.324,0.36,0.408,0.0
2857,"Brewer, Colten",605155,NYY,CU,Curveball,0.6,0,17,16.3,4,0.0,0.0,0.175,66.7,75.0,37.5,,,0.175,
2858,"McHugh, Collin",543521,ATL,CU,Curveball,-5.5,-1,20,2.0,4,0.25,0.25,0.225,0.0,0.0,0.0,0.371,0.48,0.371,25.0
2859,"Hanifee, Brenan",669724,DET,SL,Slider,-0.7,0,17,19.1,4,0.25,0.5,0.313,12.5,0.0,0.0,0.363,0.59,0.406,50.0
2860,"Stephens, Jackson",623451,ATL,CH,Changeup,-0.8,0,17,7.5,4,0.25,1.0,0.5,37.5,0.0,0.0,0.251,0.817,0.435,50.0
2861,"Dubin, Shawn",681869,HOU,CU,Curveball,-5.1,-1,29,16.9,4,0.5,0.75,0.538,27.3,50.0,25.0,0.332,0.448,0.336,100.0
2862,"Senzatela, Antonio",622608,COL,SI,Sinker,3.0,0,14,11.7,4,0.25,0.25,0.225,0.0,0.0,0.0,0.353,0.397,0.319,50.0
2863,"Garcia, Luis",677651,HOU,CU,Curveball,-0.4,0,35,7.5,4,0.25,0.5,0.313,18.2,25.0,14.3,0.118,0.144,0.111,0.0
2864,"Miller, Mason",695243,OAK,CH,Changeup,2.1,1,30,4.9,4,0.0,0.0,0.0,42.9,25.0,20.0,0.045,0.115,0.063,33.3
2865,"Dubin, Shawn",681869,HOU,ST,Sweeper,3.9,1,16,9.3,4,0.25,0.25,0.225,22.2,25.0,50.0,0.228,0.261,0.219,33.3
